tconst,ordering,nconst,category,job,characters
tt0000204,1,nm0349785,director,,
tt0000205,1,nm0349785,director,,
tt0000206,1,nm0005717,director,,
tt0000206,2,nm0005717,cinematographer,,
tt0000207,1,nm0666972,producer,producer,
tt0000208,1,nm0808310,director,,
tt0000208,2,nm0808310,producer,producer,
tt0000209,1,nm0808310,director,,
tt0000209,2,nm0808310,producer,producer,
tt0000210,1,nm0617588,actor,,
tt0000210,2,nm0617588,director,,
tt0000210,3,nm0617588,producer,producer,
tt0000211,1,nm0194945,actress,,"[""Phoebe - la bonne fée""]"
tt0000211,2,nm0617588,actor,,"[""L'astronome""]"
tt0000212,1,nm0795060,director,,
tt0000213,1,nm0349785,director,,
tt0000214,1,nm0085865,actor,,"[""Hand that tears down the Spanish flag""]"
tt0000214,2,nm0085865,director,,
tt0000214,3,nm0085865,producer,producer,
tt0000214,4,nm0807236,producer,producer,
tt0000214,5,nm0807236,cinematographer,,
tt0000215,1,nm0841389,actor,,
tt0000215,2,nm0471818,director,,
tt0000215,3,nm0841389,writer,writer,
tt0000215,4,nm0471818,cinematographer,,
tt0000216,1,nm1997201,self,,"[""Self""]"
tt0000216,2,nm0454367,self,,"[""Self""]"
tt0000216,3,nm0005717,director,,
tt0000216,4,nm0005717,cinematographer,,
tt0000217,1,nm0808310,director,,
tt0000217,2,nm0808310,producer,producer,
tt0000218,1,nm0617588,actor,,"[""Fernand Labori""]"
tt0000218,2,nm0617588,director,,
tt0000218,3,nm0617588,writer,writer,
tt0000218,4,nm0617588,producer,producer,
tt0000218,5,nm0617588,cinematographer,,
tt0000219,1,nm0808310,director,,
tt0000219,2,nm0808310,producer,producer,
tt0000220,1,nm0666972,producer,producer,
tt0000221,1,nm0182052,director,,
tt0000222,1,nm0349785,director,,
tt0000223,1,nm0349785,director,,
tt0000224,1,nm0666972,producer,producer,
tt0000225,1,nm0207305,writer,story,
tt0000226,1,nm0378408,producer,producer,
tt0000227,1,nm4427898,director,,
tt0000227,2,nm0666972,producer,producer,
tt0000228,1,nm0349785,director,,
tt0000229,1,nm0924920,director,,
tt0000229,2,nm0857203,writer,poem,
tt0000229,3,nm0924920,producer,producer,
tt0000229,4,nm0595213,composer,composer,
tt0000230,1,nm1333156,actress,,"[""Cinderella""]"
tt0000230,2,nm0076933,actress,,"[""The Fairy Godmother""]"
tt0000230,3,nm1778224,actor,,"[""Prince Charming""]"
tt0000230,4,nm0194945,actress,,"[""Fairy Godmother""]"
tt0000230,5,nm1778292,actor,,"[""Party Guest""]"
tt0000230,6,nm0617588,actor,,"[""Le gnome de la pendule""]"
tt0000230,7,nm0617588,actor,,"[""Le suisse à l'entrée de l'église""]"
tt0000231,1,nm0666972,producer,producer,
tt0000232,1,nm0349785,director,,
tt0000233,1,nm0005717,director,,
tt0000233,2,nm0005717,writer,screenplay,
tt0000233,3,nm0005717,cinematographer,,
tt0000234,1,nm0194945,actress,,"[""Cleopatre""]"
tt0000234,2,nm0617588,actor,,"[""Tomb Digger""]"
tt0000234,3,nm0617588,director,,
tt0000234,4,nm0617588,producer,producer,
tt0000235,1,nm0194945,actress,,"[""Ayesha""]"
tt0000235,2,nm0617588,actor,,"[""The Devil""]"
tt0000235,3,nm0617588,actor,,"[""The Devil""]"
tt0000236,1,nm0349785,director,,
tt0000237,1,nm0349785,director,,
tt0000238,1,nm0349785,director,,
tt0000239,1,nm0298291,self,,"[""Self""]"
tt0000239,2,nm0349785,director,,
tt0000240,1,nm0005658,cinematographer,,
tt0000240,2,nm0555522,cinematographer,,
tt0000241,1,nm0349785,director,,
tt0000242,1,nm0617588,actor,,"[""The Devil""]"
tt0000243,1,nm0349785,director,,
tt0000244,1,nm0349785,director,,
tt0000245,1,nm0002615,producer,producer,
tt0000246,1,nm0617588,actor,,"[""Magician""]"
tt0000247,1,nm0002504,actor,,"[""King John""]"
tt0000247,2,nm0784327,actor,,"[""Prince Henry""]"
tt0000247,3,nm2259742,actor,,"[""Arthur""]"
tt0000247,4,nm0924893,actor,,"[""Earl of Pembroke""]"
tt0000247,5,nm0177548,actor,,"[""Earl of Salisbury""]"
tt0000247,6,nm2261015,actor,,"[""Hubert de Burgh""]"
tt0000247,7,nm0909064,actor,,"[""Philip Faulconbridge""]"
tt0000247,8,nm1266638,actress,,"[""Constance""]"
tt0000247,9,nm2263402,actor,,"[""Philip, King of France""]"
tt0000247,10,nm0492774,actor,,"[""Lewis, the Dauphin""]"
tt0000247,11,nm2156608,director,,
tt0000247,12,nm0005690,director,,
tt0000247,13,nm0002504,director,,
tt0000247,14,nm0000636,writer,play,
tt0000247,15,nm0002504,writer,adaptation,
tt0000247,16,nm0744231,composer,composer,
tt0000247,17,nm6114857,composer,composer,
tt0000247,18,nm0005690,cinematographer,,
tt0000247,19,nm6010696,production_designer,production_designer,
tt0000248,1,nm0809419,actress,,"[""Wife""]"
tt0000248,2,nm0808310,actor,,"[""Husband""]"
tt0000248,3,nm0808310,director,,
tt0000248,4,nm0808310,producer,producer,
tt0000248,5,nm0808310,cinematographer,,
tt0000249,1,nm0808310,director,,
tt0000249,2,nm0808310,producer,producer,
tt0000250,1,nm0005717,director,,
tt0000250,2,nm0005717,cinematographer,,
tt0000251,1,nm0177862,director,,
tt0000252,1,nm0349785,director,,
tt0000253,1,nm0095816,director,,
tt0000253,2,nm0666972,producer,producer,
tt0000254,1,nm0349785,director,,
tt0000255,1,nm0349785,director,,
tt0000256,1,nm0005658,cinematographer,,
tt0000257,1,nm0349785,director,,
tt0000258,1,nm0349785,director,,
tt0000259,1,nm0349785,director,,
tt0000260,1,nm0349785,director,,
tt0000261,1,nm0617588,actor,,"[""The Sleeping Man""]"
tt0000261,2,nm0617588,director,,
tt0000261,3,nm0617588,producer,producer,
tt0000262,1,nm0349785,director,,
tt0000264,1,nm0617588,actor,,"[""L'illusioniste""]"
tt0000264,2,nm0617588,director,,
tt0000264,3,nm0617588,producer,producer,
tt0000265,1,nm0335788,actor,,"[""Chimmie Hicks""]"
tt0000265,2,nm0035502,cinematographer,,
tt0000266,1,nm0035502,cinematographer,,
tt0000267,1,nm0349785,director,,
tt0000268,1,nm0349785,director,,
tt0000269,1,nm0666972,director,,
tt0000269,2,nm0666972,producer,producer,
tt0000270,1,nm0349785,director,,
tt0000271,1,nm0349785,director,,
tt0000272,1,nm0808310,director,,
tt0000272,2,nm0808310,producer,producer,
tt0000272,3,nm0808310,cinematographer,,
tt0000273,1,nm1040375,actor,,"[""The Officer""]"
tt0000273,2,nm1894886,actor,,"[""The Missionary""]"
tt0000273,3,nm1895457,actress,,"[""The Girl""]"
tt0000273,4,nm0932055,director,,
tt0000273,5,nm0932055,writer,,
tt0000273,6,nm0932055,producer,producer,
tt0000273,7,nm0932055,cinematographer,,
tt0000274,1,nm0349785,director,,
tt0000275,1,nm0349785,director,,
tt0000276,1,nm0349785,director,,
tt0000277,1,nm0349785,director,,
tt0000278,1,nm0168621,self,,"[""Self""]"
tt0000279,1,nm0168621,actor,,
tt0000279,2,nm0555522,cinematographer,,
tt0000280,1,nm0168621,actor,,
tt0000280,2,nm0555522,cinematographer,,
tt0000281,1,nm0168621,actor,,
tt0000281,2,nm0035502,cinematographer,,
tt0000282,1,nm0349785,director,,
tt0000283,1,nm0349785,director,,
tt0000284,1,nm0349785,director,,
tt0000285,1,nm0095816,director,,
tt0000285,2,nm0666972,producer,producer,
tt0000286,1,nm0349785,director,,
tt0000287,1,nm0085865,director,,
tt0000287,2,nm0807236,director,,
tt0000287,3,nm0085865,producer,producer,
tt0000287,4,nm0807236,producer,producer,
tt0000288,1,nm0349785,director,,
tt0000289,1,nm0349785,director,,
tt0000290,1,nm0349785,director,,
tt0000291,1,nm0349785,director,,
tt0000292,1,nm0349785,director,,
tt0000293,1,nm0349785,director,,
tt0000294,1,nm0349785,director,,
tt0000295,1,nm0349785,director,,
tt0000296,1,nm10501864,actress,,"[""Dancer""]"
tt0000296,2,nm0349785,director,,
tt0000297,1,nm0349785,director,,
tt0000298,1,nm0349785,director,,
tt0000299,1,nm0349785,director,,
tt0000300,1,nm0085865,actor,,"[""Chalk-Talk Artist""]"
tt0000300,2,nm0085865,director,,
tt0000300,3,nm0085865,producer,producer,
tt0000300,4,nm0807236,producer,producer,
tt0000300,5,nm0807236,cinematographer,,
tt0000301,1,nm0692105,director,,
